iter	RMSE
0	226902.4715
1	209350.9512
2	195918.2992
3	184938.3758
4	177719.4653
5	171033.5017
6	165503.3655
7	160874.0933
8	157554.5615
9	154868.1881
10	153566.5323
11	151980.9484
12	150709.8317
13	149175.7702
14	147585.6834
15	145152.2627
16	143636.4351
17	142458.8365
18	141225.6337
19	140397.4566
20	139234.2913
21	138634.7012
22	138350.5783
23	137875.0893
24	137793.4372
25	136945.0606
26	135610.0337
27	134952.4755
28	133531.2333
29	133358.7743
30	132500.144
31	131462.4948
32	130495.0353
33	130101.1382
34	129451.3023
35	128581.5095
36	128306.033
37	127640.2963
38	127172.5344
39	126467.7347
40	126007.3659
41	125148.4058
42	125026.4211
43	124252.2444
44	123934.6621
45	123356.6485
46	122762.1261
47	122223.6161
48	121731.1347
49	121361.9583
50	119954.2895
51	119663.962
52	119018.6592
53	118245.4999
54	117909.4197
55	117347.1048
56	116857.9809
57	116545.1807
58	116288.9308
59	115749.5337
60	115134.5498
61	114835.7115
62	113882.3144
63	113239.6811
64	113092.6667
65	112596.9676
66	112382.2514
67	112121.794
68	111806.3706
69	111304.9342
70	111168.2534
71	110391.5013
72	109937.8098
73	109780.1066
74	109148.6081
75	108891.2042
76	108630.7423
77	108200.3077
78	107998.0421
79	107775.2724
80	107430.0268
81	107301.6813
82	107077.3001
83	106982.1447
84	106757.3977
85	106552.7509
86	106117.3408
87	105715.9224
88	105156.2819
89	104963.4872
90	104657.904
91	104259.3293
92	104022.3576
93	103548.7424
94	103433.3415
95	103177.2325
96	103075.0719
97	102848.4517
98	102686.0004
99	102469.7192
100	102301.4279
101	102053.5823
102	101539.561
103	101406.4402
104	101172.2764
105	100904.6948
106	100850.4394
107	100503.7027
108	100439.226
109	100023.3025
110	99603.51598
111	99462.49706
112	99375.70426
113	99226.70112
114	98881.1099
115	98588.2062
116	98371.80387
117	97907.91355
118	97715.0608
119	97516.12853
120	97260.67196
121	97154.6483
122	96999.06808
123	96904.4745
124	96692.6898
125	96521.72296
126	96498.53169
127	96145.22368
128	96025.63874
129	95813.73783
130	95512.92978
131	95317.1163
132	95245.20299
133	95158.54923
134	94892.52134
135	94750.01828
136	94694.904
137	94575.14385
138	94329.21996
139	94035.08977
140	93676.82817
141	93333.96109
142	93195.49792
143	92906.04532
144	92894.43604
145	92692.12149
146	92645.72873
147	92451.05237
148	92213.57761
149	92020.48054
150	91877.37317
151	91665.43689
152	91611.96258
153	91400.64887
154	91254.42922
155	91051.33999
